societe,secteur,secteur_normalise,type_comptes_resolu,statut_perimetre_is,qualite_perimetre,annee_information,is_2025_mad,resultat_avant_impot,resultat_net,chiffre_affaires,total_actif,capitaux_propres,est_banque,version_source,annee_prevue,prediction_naive_2026_mad,variation_is_predite_mad,prediction_modele_2026_mad,groupe_intervalle,marge_empirique_90_mad,borne_basse_90_mad,borne_haute_90_mad,statut_prevision
LABEL VIE,Distributeurs,distributeurs,sociaux,vérifié_par_impôt_du_pdf,haute,2025,237829644.28,209376928.85,153409025.73,,,1163197038.34,False,V16,2026,237829644.28,2993621.235256875,240823265.51525688,Non-banques,52126746.45929065,188696519.05596623,292950011.9745475,Prévision exploratoire; à actualiser avec les comptes 2026
TAQA MOROCCO,Electricité,electricite,sociaux,vérifié_par_impôt_du_pdf,haute,2025,232518075.0,1183967232.07,951449157.07,,,,False,V16,2026,232518075.0,2993621.235256875,235511696.23525688,Non-banques,52126746.45929065,183384949.77596623,287638442.69454753,Prévision exploratoire; à actualiser avec les comptes 2026
Wafa Assurance,Sociétés d'assurances,societes d assurances,consolides,provisoire_un_seul_type_disponible,provisoire,2025,220737000.0,,9064653000.0,,,2314561000.0,False,V16,2026,220737000.0,6473729.070080241,227210729.07008025,Non-banques,52126746.45929065,175083982.6107896,279337475.5293709,Prévision exploratoire; à actualiser avec les comptes 2026
CASH PLUS S.A,Services de paiement,services de paiement,sociaux,vérifié_par_impôt_du_pdf,haute,2025,212103010.0,463558430.0,251455420.0,693098450.0,,,False,V16,2026,212103010.0,1363692.6740938814,213466702.67409387,Non-banques,52126746.45929065,161339956.21480322,265593449.13338453,Prévision exploratoire; à actualiser avec les comptes 2026
Sothema,Divers,divers,sociaux,vérifié_par_impôt_du_pdf,haute,2025,200615762.0,,53347790.26,,,2232402013.24,False,V16,2026,200615762.0,2993621.235256875,203609383.23525688,Non-banques,52126746.45929065,151482636.77596623,255736129.69454753,Prévision exploratoire; à actualiser avec les comptes 2026
SMI,Mines,mines,sociaux,provisoire_un_seul_type_disponible,provisoire,2025,191056147.0,588164741.01,397100000.0,1558159716.75,,1660200000.0,False,V16,2026,191056147.0,-337260.3441529835,190718886.655847,Non-banques,52126746.45929065,138592140.19655636,242845633.11513767,Prévision exploratoire; à actualiser avec les comptes 2026
Auto Nejma,Distributeurs,distributeurs,sociaux,vérifié_par_impôt_du_pdf,haute,2025,186412198.0,486000000.0,,,,1434000000.0,False,V16,2026,186412198.0,2993621.235256875,189405819.23525688,Non-banques,52126746.45929065,137279072.77596623,241532565.69454753,Prévision exploratoire; à actualiser avec les comptes 2026
CNIA SAADA,Sociétés d'assurances,societes d assurances,sociaux,vérifié_par_impôt_du_pdf,haute,2025,153096560.3,,418452000000.0,,,,False,V16,2026,153096560.3,11801815.610213615,164898375.91021362,Non-banques,52126746.45929065,112771629.45092297,217025122.36950427,Prévision exploratoire; à actualiser avec les comptes 2026
Sonasid,Industrie métallurgique,industrie metallurgique,sociaux,vérifié_par_impôt_du_pdf,haute,2025,156597905.35,417099109.66,260501204.31,6224203545.87,4408281533.1,1538567005.26,False,V16,2026,156597905.35,2993621.235256875,159591526.58525687,Non-banques,52126746.45929065,107464780.12596622,211718273.04454753,Prévision exploratoire; à actualiser avec les comptes 2026
MINIERE TOUISSIT,Mines,mines,sociaux,vérifié_par_impôt_du_pdf,haute,2025,121638308.0,324150717.35,-2.0,,,898404885.1,False,V16,2026,121638308.0,1292668.2170100107,122930976.21701,Non-banques,52126746.45929065,70804229.75771935,175057722.67630064,Prévision exploratoire; à actualiser avec les comptes 2026
