societe,secteur,annee,type_comptes_resolu,capitaux_propres,chiffre_affaires,dettes_financieres,ebit,ebitda,immobilisations_corporelles,impot_differe,resultat_avant_impot,resultat_financier,resultat_net,total_actif,total_dettes,tresorerie_equivalents,nombre_variables_prevalidees,societe_is,score_correspondance_nom,methode_correspondance_nom,is_mad,statut_perimetre_is,ecart_identite_fiscale,is_implicite_mad
Addoha,Immobilier,2008,sociaux,2835000000.0,,3000000000.0,,,20021361.41,,,,451252610.89,,,,4,Douja PRO ADDOHA,1.0,alias vérifié,5859225.0,provisoire_un_seul_type_disponible,,
Addoha,Immobilier,2009,sociaux,2835000000.0,,2949559462.63,792050570.84,,96732644.1,,,,790831409.66,,,,5,Douja PRO ADDOHA,1.0,alias vérifié,113494931.0,provisoire_un_seul_type_disponible,,
Addoha,Immobilier,2010,sociaux,3150000000.0,,3131585966.0,,,39459349.64,,,,195234236.75,,,,4,Douja PRO ADDOHA,1.0,alias vérifié,172766826.0,vérifié_par_impôt_du_pdf,,
Addoha,Immobilier,2011,sociaux,3150000000.0,,3083333333.34,,,140352242.4,,,,,,,,3,Douja PRO ADDOHA,1.0,alias vérifié,119085315.0,vérifié_par_impôt_du_pdf,,
Addoha,Immobilier,2012,sociaux,3150000000.0,,2925000000.02,,,60119180.4,,,,,,,,3,Douja PRO ADDOHA,1.0,alias vérifié,131474359.0,vérifié_par_impôt_du_pdf,,
Addoha,Immobilier,2013,sociaux,3225571180.0,,3358419877.75,,,155987620.41,,,,907183667.28,,,,4,Douja PRO ADDOHA,1.0,alias vérifié,82337447.0,vérifié_par_impôt_du_pdf,,
Addoha,Immobilier,2014,sociaux,3225571180.0,,3987132512.84,376384947.4,,188082588.17,,,,761861408.95,,,,5,Douja PRO ADDOHA,1.0,alias vérifié,51090784.0,vérifié_par_impôt_du_pdf,,
Addoha,Immobilier,2016,sociaux,,,,,,152582806.19,,,,500000000.0,,,,2,Douja PRO ADDOHA,1.0,alias vérifié,170797519.0,vérifié_par_impôt_du_pdf,,
Addoha,Immobilier,2017,sociaux,,,,,,719731420.96,,722931609.82,,3559158431.51,,,,3,Douja PRO ADDOHA,1.0,alias vérifié,134770811.0,vérifié_par_impôt_du_pdf,,
Addoha,Immobilier,2018,consolides,11146854611.0,4062318164.0,4467133453.0,632326697.0,,15111000.0,4979530024.0,649058714.0,51412789.0,763909244.0,27248454111.0,,,9,Douja PRO ADDOHA,1.0,alias vérifié,84079684.0,provisoire_un_seul_type_disponible,,
Addoha,Immobilier,2019,consolides,,3479784961.0,,,,8694000.0,-82049291.0,,18376000.0,,25100622170.0,,,5,Douja PRO ADDOHA,1.0,alias vérifié,41986239.0,provisoire_un_seul_type_disponible,,
Addoha,Immobilier,2020,sociaux,10955928287.21,,,,,,,,,,,,,1,Douja PRO ADDOHA,1.0,alias vérifié,5607176.0,vérifié_par_impôt_du_pdf,,
Addoha,Immobilier,2021,sociaux,10881502174.56,,2615793030.16,-161000000.0,,,,,,,,,,3,Douja PRO ADDOHA,1.0,alias vérifié,2579768.0,vérifié_par_impôt_du_pdf,,
Addoha,Immobilier,2023,sociaux,4025512540.0,,2166521089.43,,,848859107.51,,,,,,,,3,Douja PRO ADDOHA,1.0,alias vérifié,2168106.0,vérifié_par_impôt_du_pdf,,
Addoha,Immobilier,2024,sociaux,4025512540.0,,1807825140.34,,,837135484.08,,59939139.92,,-2.0,,,,5,Douja PRO ADDOHA,1.0,alias vérifié,2613868.0,vérifié_par_impôt_du_pdf,,
Addoha,Immobilier,2025,sociaux,,,,,,,,,,-2.0,,,,1,Douja PRO ADDOHA,1.0,alias vérifié,1165851.0,vérifié_par_impôt_du_pdf,,
Afriquia Gaz,Pétrole et Gaz,2006,consolides,1506567000.0,,377603000.0,-36228000.0,,1427701000.0,33045000.0,,,51.0,2506024000.0,,2138396000.0,8,AfriquiaGaz,1.0,alias vérifié,100370440.0,provisoire_un_seul_type_disponible,,
Afriquia Gaz,Pétrole et Gaz,2007,consolides,1548090000.0,,38432000.0,-10265000.0,,1525719000.0,26787000.0,,,64.0,2521245000.0,,1665075000.0,8,AfriquiaGaz,1.0,alias vérifié,125602945.0,provisoire_un_seul_type_disponible,,
