societe,secteur,annee,type_comptes_resolu,capitaux_propres,chiffre_affaires,dettes_financieres,ebit,ebitda,immobilisations_corporelles,impot_differe,resultat_avant_impot,resultat_financier,resultat_net,total_actif,total_dettes,tresorerie_equivalents,nombre_variables_prevalidees,societe_is,score_correspondance_nom,methode_correspondance_nom,is_mad,statut_perimetre_is,ecart_identite_fiscale,is_implicite_mad,version_source,secteur_normalise,est_banque,qualite_perimetre,taille_log_actif,rentabilite_actif,ratio_capitaux_propres,ratio_dettes_financieres,marge_ebit,marge_nette,taux_effectif_observe,is_mad_retard_1,chiffre_affaires_retard_1,resultat_avant_impot_retard_1,resultat_net_retard_1,total_actif_retard_1,capitaux_propres_retard_1,croissance_chiffre_affaires,croissance_resultat_avant_impot,croissance_resultat_net,croissance_total_actif,croissance_capitaux_propres,chiffre_affaires_manquant,ebit_manquant,resultat_financier_manquant,resultat_avant_impot_manquant,resultat_net_manquant,total_actif_manquant,capitaux_propres_manquant,total_dettes_manquant,dettes_financieres_manquant,tresorerie_equivalents_manquant,ebitda_manquant,immobilisations_corporelles_manquant,impot_differe_manquant,split_temporel_t,is_cible_t_plus_1,qualite_cible_t_plus_1,annee_cible,split_temporel_cible,cible_disponible
ALLIANCES,Immobilier,2012,sociaux,,,,,,,,407048522.77,,387446152.38,,,,2,ALLIANCES Développement Immobilier (ADI),1.0,alias vérifié,19602370.39,vérifié_par_rcai_moins_resultat_net,7.60171392407184e-16,19602370.38999999,V26,immobilier,False,haute,,,,,,,0.04815733086710202,,,,,,,,,,,,1,1,1,0,0,1,1,1,1,1,1,1,1,apprentissage,4393941.0,haute,2013,apprentissage,True
ALLIANCES,Immobilier,2013,sociaux,,,,,,,,,,282573801.85,,,,1,ALLIANCES Développement Immobilier (ADI),1.0,alias vérifié,4393941.0,vérifié_par_impôt_du_pdf,,,V26,immobilier,False,haute,,,,,,,,19602370.39,,407048522.77,387446152.38,,,,,-0.2706759375097449,,,1,1,1,1,0,1,1,1,1,1,1,1,1,apprentissage,2507598.0,haute,2014,apprentissage,True
ALLIANCES,Immobilier,2019,sociaux,1912254989.32,3279000000.0,,,,,,-3194483.19,,-0.77,13486707000.0,,,4,ALLIANCES Développement Immobilier (ADI),1.0,alias vérifié,1550984.0,vérifié_par_impôt_du_pdf,,,V26,immobilier,False,haute,23.324970370695585,-5.709325486199114e-11,0.14178813177449467,,,-2.348276913693199e-10,-0.4855195371993803,,,,,,,,,,,,0,1,1,0,0,0,0,1,1,1,1,1,1,apprentissage,986255.0,haute,2020,validation,True
ARADEI Capital,Sociétés de placement immobilier,2024,sociaux,2681443537.26,199977503.15,1639061901.14,20722458.59,,681019027.54,,143814333.19,134213170.33,138041971.19,5063012758.0,2381569220.74,17540413.66,11,ARADEI Capital,1.0,comparatif officiel du RFA 2025,5772362.0,vérifié_par_impôt_du_pdf,0.0,5772362.0,V26,societes de placement immobilier,False,haute,22.34522754997841,0.027264788336130833,0.5296142169547344,0.3237325243848418,0.10362394901218668,0.6902875024219943,0.04013759874945049,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,0,1,test_final,13486621.63,haute,2025,test_final,True
Addoha,Immobilier,2018,consolides,11146854611.0,4062318164.0,4467133453.0,632326697.0,,15111000.0,4979530024.0,649058714.0,51412789.0,763909244.0,27248454111.0,,,9,Douja PRO ADDOHA,1.0,alias vérifié,84079684.0,provisoire_un_seul_type_disponible,,,V26,immobilier,False,provisoire,24.028262626611603,0.028034957171813115,0.40908209198187495,0.16394080320309443,0.15565661562494984,0.18804761546491217,0.12954095243839528,,,,,,,,,,,,0,0,0,0,0,0,0,1,0,1,1,0,0,apprentissage,41986239.0,provisoire,2019,apprentissage,True
Addoha,Immobilier,2007,sociaux,,,,,,,,,,50000000.0,,,,1,Douja PRO ADDOHA,1.0,alias vérifié,84842007.0,provisoire_un_seul_type_disponible,,,V26,immobilier,False,provisoire,,,,,,,,,,,,,,,,,,,1,1,1,1,0,1,1,1,1,1,1,1,1,apprentissage,5859225.0,provisoire,2008,apprentissage,True
Addoha,Immobilier,2008,sociaux,2835000000.0,,3000000000.0,,,20021361.41,,,,451252610.89,,,,4,Douja PRO ADDOHA,1.0,alias vérifié,5859225.0,provisoire_un_seul_type_disponible,,,V26,immobilier,False,provisoire,,,,,,,,84842007.0,,,50000000.0,,,,,8.025052217799999,,,1,1,1,1,0,1,0,1,0,1,1,0,1,apprentissage,113494931.0,provisoire,2009,apprentissage,True
Addoha,Immobilier,2009,sociaux,2835000000.0,,2949559462.63,792050570.84,,96732644.1,,,,790831409.66,,,,5,Douja PRO ADDOHA,1.0,alias vérifié,113494931.0,provisoire_un_seul_type_disponible,,,V26,immobilier,False,provisoire,,,,,,,,5859225.0,,,451252610.89,,2835000000.0,,,0.7525248399122897,,0.0,1,0,1,1,0,1,0,1,0,1,1,0,1,apprentissage,172766826.0,haute,2010,apprentissage,True
Addoha,Immobilier,2010,sociaux,3150000000.0,,3131585966.0,,,39459349.64,,,,195234236.75,,,,4,Douja PRO ADDOHA,1.0,alias vérifié,172766826.0,vérifié_par_impôt_du_pdf,,,V26,immobilier,False,haute,,,,,,,,113494931.0,,,790831409.66,,2835000000.0,,,-0.753127867248044,,0.1111111111111111,1,1,1,1,0,1,0,1,0,1,1,0,1,apprentissage,119085315.0,haute,2011,apprentissage,True
Addoha,Immobilier,2011,sociaux,3150000000.0,,3083333333.34,,,140352242.4,,,,,,,,3,Douja PRO ADDOHA,1.0,alias vérifié,119085315.0,vérifié_par_impôt_du_pdf,,,V26,immobilier,False,haute,,,,,,,,172766826.0,,,195234236.75,,3150000000.0,,,,,0.0,1,1,1,1,1,1,0,1,0,1,1,0,1,apprentissage,131474359.0,haute,2012,apprentissage,True
