societe,secteur,type_comptes_resolu,annee,annee_cible,is_mad,chiffre_affaires,capitaux_propres,immobilisations_corporelles,is_cible_t_plus_1,variation_is_cible,scenario,decoupage_temporel
Holcim,Bâtiment et matériaux de construction,consolides,2013,2014,215326295.61,5049806000.0,5100267000.0,6125432000.0,269645116.0,54318820.389999986,Structurel sans variables fiscales contemporaines,apprentissage
MarocTelecom,Télécommunications,sociaux,2013,2014,3412424000.0,20652253000.0,14029733000.0,54042695000.0,2094858000.0,-1317566000.0,Structurel sans variables fiscales contemporaines,apprentissage
Microdata,"Matériels, logiciels et services informatiques",sociaux,2013,2014,12839006.0,329065909.42,79470266.62,2385814.31,12260107.0,-578899.0,Structurel sans variables fiscales contemporaines,apprentissage
PROMOPHARM,Divers,sociaux,2013,2014,24855644.0,449183045.58,377153698.91,117537917.41,35689927.0,10834283.0,Structurel sans variables fiscales contemporaines,apprentissage
Brasseries du Maroc,Agroalimentaire,sociaux,2014,2015,119439525.0,1948053918.51,1949695580.45,745598466.19,131655398.0,12215873.0,Structurel sans variables fiscales contemporaines,apprentissage
Cosumar,Agroalimentaire,sociaux,2014,2015,146280273.0,5273601226.17,2715992834.23,2885315576.58,236657642.0,90377369.0,Structurel sans variables fiscales contemporaines,apprentissage
DELTA HOLDING S.A,Sociétés de portefeuille,sociaux,2014,2015,7962033.0,78052879.38,1255723545.64,23722569.19,5307309.0,-2654724.0,Structurel sans variables fiscales contemporaines,apprentissage
Holcim,Bâtiment et matériaux de construction,consolides,2014,2015,269645116.0,4934951000.0,4917744000.0,5919967000.0,230965991.96,-38679124.03999999,Structurel sans variables fiscales contemporaines,apprentissage
MarocTelecom,Télécommunications,sociaux,2014,2015,2094858000.0,20456679000.0,14780895000.0,56631268000.0,2040864000.0,-53994000.0,Structurel sans variables fiscales contemporaines,apprentissage
Microdata,"Matériels, logiciels et services informatiques",sociaux,2014,2015,12260107.0,316592908.01,86120527.74,11757351.08,9914954.0,-2345153.0,Structurel sans variables fiscales contemporaines,apprentissage
PROMOPHARM,Divers,sociaux,2014,2015,35689927.0,474836506.93,380373525.27,118837378.29,43653788.0,7963861.0,Structurel sans variables fiscales contemporaines,apprentissage
Brasseries du Maroc,Agroalimentaire,sociaux,2015,2016,131655398.0,2116037820.42,2064158372.64,675453402.13,151221440.0,19566042.0,Structurel sans variables fiscales contemporaines,apprentissage
Cosumar,Agroalimentaire,sociaux,2015,2016,236657642.0,5273601226.17,2774801364.74,4602198585.67,362526198.0,125868556.0,Structurel sans variables fiscales contemporaines,apprentissage
DELTA HOLDING S.A,Sociétés de portefeuille,sociaux,2015,2016,5307309.0,83081851.9,1234943197.49,23914932.5,9458091.0,4150782.0,Structurel sans variables fiscales contemporaines,apprentissage
MarocTelecom,Télécommunications,sociaux,2015,2016,2040864000.0,20242939000.0,14653526000.0,56631268000.0,2062373000.0,21509000.0,Structurel sans variables fiscales contemporaines,apprentissage
PROMOPHARM,Divers,sociaux,2015,2016,43653788.0,532838890.03,397480337.51,111343349.96,41947059.44,-1706728.5600000024,Structurel sans variables fiscales contemporaines,apprentissage
Brasseries du Maroc,Agroalimentaire,sociaux,2016,2017,151221440.0,2257097566.24,2098306301.71,633862632.05,171957893.0,20736453.0,Structurel sans variables fiscales contemporaines,apprentissage
Cosumar,Agroalimentaire,sociaux,2016,2017,362526198.0,6387473512.69,3266926935.89,5235918261.34,345574220.0,-16951978.0,Structurel sans variables fiscales contemporaines,apprentissage
DELTA HOLDING S.A,Sociétés de portefeuille,sociaux,2016,2017,9458091.0,82116209.56,1310959712.57,23803762.85,5404568.0,-4053523.0,Structurel sans variables fiscales contemporaines,apprentissage
PROMOPHARM,Divers,sociaux,2016,2017,41947059.44,529788922.38,315697985.57,98262628.59,31384474.0,-10562585.439999998,Structurel sans variables fiscales contemporaines,apprentissage
Brasseries du Maroc,Agroalimentaire,sociaux,2017,2018,171957893.0,2295989336.76,2169721049.29,597965540.47,164102093.0,-7855800.0,Structurel sans variables fiscales contemporaines,apprentissage
Cosumar,Agroalimentaire,sociaux,2017,2018,345574220.0,6261217618.65,3618741594.94,3645384111.46,294210931.0,-51363289.0,Structurel sans variables fiscales contemporaines,apprentissage
DELTA HOLDING S.A,Sociétés de portefeuille,sociaux,2017,2018,5404568.0,67233445.47,1329770504.23,22436479.2,6376302.0,971734.0,Structurel sans variables fiscales contemporaines,apprentissage
PROMOPHARM,Divers,sociaux,2017,2018,31384474.0,511203838.56,233498730.53,88040580.37,16291770.0,-15092704.0,Structurel sans variables fiscales contemporaines,apprentissage
Addoha,Immobilier,consolides,2018,2019,84079684.0,4062318164.0,11146854611.0,15111000.0,41986239.0,-42093445.0,Structurel sans variables fiscales contemporaines,apprentissage
