societe,secteur,annee,type_comptes_resolu,capitaux_propres,chiffre_affaires,dettes_financieres,ebit,ebitda,immobilisations_corporelles,impot_differe,resultat_avant_impot,resultat_financier,resultat_net,total_actif,total_dettes,tresorerie_equivalents,nombre_variables_prevalidees,societe_is,score_correspondance_nom,methode_correspondance_nom,is_mad,statut_perimetre_is,ecart_identite_fiscale,is_implicite_mad,version_source,secteur_normalise,est_banque,qualite_perimetre,taille_log_actif,rentabilite_actif,ratio_capitaux_propres,ratio_dettes_financieres,marge_ebit,marge_nette,taux_effectif_observe,is_mad_retard_1,chiffre_affaires_retard_1,resultat_avant_impot_retard_1,resultat_net_retard_1,total_actif_retard_1,capitaux_propres_retard_1,croissance_chiffre_affaires,croissance_resultat_avant_impot,croissance_resultat_net,croissance_total_actif,croissance_capitaux_propres,chiffre_affaires_manquant,ebit_manquant,resultat_financier_manquant,resultat_avant_impot_manquant,resultat_net_manquant,total_actif_manquant,capitaux_propres_manquant,total_dettes_manquant,dettes_financieres_manquant,tresorerie_equivalents_manquant,ebitda_manquant,immobilisations_corporelles_manquant,impot_differe_manquant,split_temporel_t
Afriquia Gaz,Pétrole et Gaz,2009,consolides,1495822000.0,,,-188608000.0,,1893551000.0,140143000.0,35063000.0,,83.0,2839162000.0,,15290000.0,8,AfriquiaGaz,1.0,alias vérifié,117648296.0,provisoire_un_seul_type_disponible,,,V26,petrole et gaz,False,provisoire,21.766774775507365,2.9233978194974433e-08,0.5268533461634102,,,,3.355340273222485,121234203.0,,,69.0,2677192000.0,1448726000.0,,,0.2028985507246377,0.060499956671019484,0.03250856269577546,1,0,1,0,0,0,0,1,1,0,1,0,0,apprentissage
Afriquia Gaz,Pétrole et Gaz,2011,sociaux,,,,,,,,494894393.41,,350057497.26,,,,2,AfriquiaGaz,1.0,alias vérifié,144553830.0,vérifié_par_rcai_moins_resultat_net,0.001958205811634571,144836896.15,V26,petrole et gaz,False,haute,,,,,,,0.29209025587049436,133259096.0,,,329345406.55,,,,,0.06288865822349202,,,1,1,1,0,0,1,1,1,1,1,1,1,1,apprentissage
Afriquia Gaz,Pétrole et Gaz,2012,sociaux,,,,,,,,547846056.26,,385155758.26,,,,2,AfriquiaGaz,1.0,alias vérifié,162690298.0,vérifié_par_rcai_moins_resultat_net,0.0,162690298.0,V26,petrole et gaz,False,haute,,,,,,,0.29696352860627234,144553830.0,,494894393.41,350057497.26,,,,0.10699588347555121,0.10026427451125633,,,1,1,1,0,0,1,1,1,1,1,1,1,1,apprentissage
Afriquia Gaz,Pétrole et Gaz,2013,sociaux,,,,,,,,535159586.01,,383395438.01,,,,2,AfriquiaGaz,1.0,alias vérifié,151764148.0,vérifié_par_rcai_moins_resultat_net,0.0,151764148.0,V26,petrole et gaz,False,haute,,,,,,,0.28358671313637673,162690298.0,,547846056.26,385155758.26,,,,-0.023156998403177663,-0.004570411352416269,,,1,1,1,0,0,1,1,1,1,1,1,1,1,apprentissage
Afriquia Gaz,Pétrole et Gaz,2014,sociaux,,,,,,,,539905558.73,,385332209.13,,,,2,AfriquiaGaz,1.0,alias vérifié,154459416.0,vérifié_par_rcai_moins_resultat_net,0.000737628064060684,154573349.6,V26,petrole et gaz,False,haute,,,,,,,0.2860859894892159,151764148.0,,535159586.01,383395438.01,,,,0.00886833169781125,0.00505162797463826,,,1,1,1,0,0,1,1,1,1,1,1,1,1,apprentissage
Afriquia Gaz,Pétrole et Gaz,2018,sociaux,,,,,,,,867573867.95,,619008571.95,,,,2,AfriquiaGaz,1.0,alias vérifié,248565296.0,vérifié_par_rcai_moins_resultat_net,0.0,248565296.0,V26,petrole et gaz,False,haute,,,,,,,0.286506204465722,,,,,,,,,,,,1,1,1,0,0,1,1,1,1,1,1,1,1,apprentissage
Atlanta,Sociétés d'assurances,2017,consolides,1545819000.0,,8177000.0,,,32400000.0,5338000.0,-26870000.0,,,,,,5,Atlanta,1.0,nom normalisé,65020000.0,vérifié_par_impôt_du_pdf,,,V26,societes d assurances,False,haute,,,,,,,-2.419799032378117,,,,,,,,,,,,1,1,1,0,1,1,0,1,0,1,1,0,0,apprentissage
Atlanta,Sociétés d'assurances,2010,sociaux,,,,,,,,265047603.46,,185720734.46,,,,2,Atlanta,1.0,nom normalisé,79326869.0,provisoire_un_seul_type_disponible,,,V26,societes d assurances,False,provisoire,,,,,,,0.29929291178055006,5842593.0,,,142466937.54,,,,,0.30360585878288976,,,1,1,1,0,0,1,1,1,1,1,1,1,1,apprentissage
Atlanta,Sociétés d'assurances,2016,sociaux,,,,,,72888215.56,,173778827.83,,-1.0,,,,3,Atlanta,1.0,nom normalisé,13148384.0,vérifié_par_impôt_du_pdf,,,V26,societes d assurances,False,haute,,,,,,,0.0756615990807722,13283615.0,,,,,1144082215.83,,,,,,1,1,1,0,0,1,1,1,1,1,1,0,1,apprentissage
Attijari wafa bank,Banques,2012,sociaux,25213767000.0,,,,,,,4819712000.0,,11333764000.0,,,,3,Attijari wafa bank,1.0,nom normalisé,1510015000.0,vérifié_par_impôt_du_pdf,,,V26,banques,True,haute,,,,,,,0.3132998403224093,,,,,,,,,,,,1,1,1,0,0,1,0,1,1,1,1,1,1,apprentissage
Attijari wafa bank,Banques,2013,sociaux,27377268000.0,,,,,,,4747064000.0,,3309697000.0,,,,3,Attijari wafa bank,1.0,nom normalisé,1457578000.0,vérifié_par_rcai_moins_resultat_net,0.01386615330363109,1437367000.0,V26,banques,True,haute,,,,,,,0.3070483144950226,1510015000.0,,4819712000.0,11333764000.0,,25213767000.0,,-0.015073099803473735,-0.7079790085623805,,0.0858063374663532,1,1,1,0,0,1,0,1,1,1,1,1,1,apprentissage
Attijari wafa bank,Banques,2015,sociaux,30623461000.0,,,,,,,5118408000.0,,13027468000.0,,,,3,Attijari wafa bank,1.0,nom normalisé,1452990000.0,vérifié_par_impôt_du_pdf,,,V26,banques,True,haute,,,,,,,0.2838753768749971,,,,,,,,,,,,1,1,1,0,0,1,0,1,1,1,1,1,1,apprentissage
Attijari wafa bank,Banques,2016,sociaux,35320900000.0,,,,,3340980000.0,,8519470000.0,,6935048000.0,,,,4,Attijari wafa bank,1.0,nom normalisé,1584422000.0,vérifié_par_rcai_moins_resultat_net,0.0,1584422000.0,V26,banques,True,haute,,,,,,,0.18597659244060957,1452990000.0,,5118408000.0,13027468000.0,,30623461000.0,,0.6644765325468388,-0.4676595636235683,,0.15339347175683377,1,1,1,0,0,1,0,1,1,1,1,0,1,apprentissage
Attijari wafa bank,Banques,2017,sociaux,37037671000.0,,,,,,,5761605000.0,,388816.59,,,,3,Attijari wafa bank,1.0,nom normalisé,1603594000.0,vérifié_par_impôt_du_pdf,,,V26,banques,True,haute,,,,,,,0.27832418223741473,1584422000.0,,8519470000.0,6935048000.0,,35320900000.0,,-0.3237132122068626,-0.9999439345495518,,0.04860496193471854,1,1,1,0,0,1,0,1,1,1,1,1,1,apprentissage
Attijari wafa bank,Banques,2018,sociaux,41497564000.0,,,,,3735375000.0,,6478968000.0,13300000.0,4603982564.32,328791884000.0,,,5,Attijari wafa bank,1.0,nom normalisé,1874985000.0,vérifié_par_rcai_moins_resultat_net,2.32364525745633e-07,1874985435.68,V26,banques,True,haute,26.518690816128533,0.014002725700857019,0.12621225163818217,,,,0.2893956259700619,1603594000.0,,5761605000.0,388816.59,,37037671000.0,,0.12450749400557658,11840.0136880219,,0.12041504985559162,1,1,0,0,0,0,0,1,1,1,1,0,1,apprentissage
Attijari wafa bank,Banques,2019,sociaux,43609499000.0,,,,,,,6857021000.0,35300000.0,18615420000.0,347402363000.0,,,4,Attijari wafa bank,1.0,nom normalisé,2016910000.0,vérifié_par_impôt_du_pdf,,,V26,banques,True,haute,26.57374949269056,0.053584609613032484,0.12553023135308955,,,,0.2941379354095605,1874985000.0,,6478968000.0,4603982564.32,328791884000.0,41497564000.0,,0.05835080525170058,3.043329821504106,0.05660261066541411,0.05089298735704101,1,1,0,0,0,0,0,1,1,1,1,1,1,apprentissage
