societe,secteur,type_comptes_resolu,annee,annee_cible,is_mad,chiffre_affaires,capitaux_propres,immobilisations_corporelles,resultat_avant_impot,resultat_net,is_cible_t_plus_1,variation_is_cible,scenario,decoupage_temporel
PROMOPHARM,Divers,sociaux,2014,2015,35689927.0,474836506.93,380373525.27,118837378.29,113909753.36,78219826.36,43653788.0,7963861.0,Étendu pour prévision t+1,apprentissage
Brasseries du Maroc,Agroalimentaire,sociaux,2015,2016,131655398.0,2116037820.42,2064158372.64,675453402.13,376282228.19,244626830.19,151221440.0,19566042.0,Étendu pour prévision t+1,apprentissage
Cosumar,Agroalimentaire,sociaux,2015,2016,236657642.0,5273601226.17,2774801364.74,4602198585.67,727145043.51,490487401.51,362526198.0,125868556.0,Étendu pour prévision t+1,apprentissage
DELTA HOLDING S.A,Sociétés de portefeuille,sociaux,2015,2016,5307309.0,83081851.9,1234943197.49,23914932.5,115926960.85,110619651.85,9458091.0,4150782.0,Étendu pour prévision t+1,apprentissage
PROMOPHARM,Divers,sociaux,2015,2016,43653788.0,532838890.03,397480337.51,111343349.96,140760600.24,97106812.24,41947059.44,-1706728.5600000024,Étendu pour prévision t+1,apprentissage
Brasseries du Maroc,Agroalimentaire,sociaux,2016,2017,151221440.0,2257097566.24,2098306301.71,633862632.05,445697445.07,294476005.07,171957893.0,20736453.0,Étendu pour prévision t+1,apprentissage
Cosumar,Agroalimentaire,sociaux,2016,2017,362526198.0,6387473512.69,3266926935.89,5235918261.34,1165031212.63,802505014.63,345574220.0,-16951978.0,Étendu pour prévision t+1,apprentissage
DELTA HOLDING S.A,Sociétés de portefeuille,sociaux,2016,2017,9458091.0,82116209.56,1310959712.57,23803762.85,190594606.08,181136515.08,5404568.0,-4053523.0,Étendu pour prévision t+1,apprentissage
PROMOPHARM,Divers,sociaux,2016,2017,41947059.44,529788922.38,315697985.57,98262628.59,129164707.5,87217648.06,31384474.0,-10562585.439999998,Étendu pour prévision t+1,apprentissage
Brasseries du Maroc,Agroalimentaire,sociaux,2017,2018,171957893.0,2295989336.76,2169721049.29,597965540.47,554634470.58,382676577.58,164102093.0,-7855800.0,Étendu pour prévision t+1,apprentissage
Cosumar,Agroalimentaire,sociaux,2017,2018,345574220.0,6261217618.65,3618741594.94,3645384111.46,1243314597.05,800762387.35,294210931.0,-51363289.0,Étendu pour prévision t+1,apprentissage
DELTA HOLDING S.A,Sociétés de portefeuille,sociaux,2017,2018,5404568.0,67233445.47,1329770504.23,22436479.2,129335359.66,123930791.66,6376302.0,971734.0,Étendu pour prévision t+1,apprentissage
PROMOPHARM,Divers,sociaux,2017,2018,31384474.0,511203838.56,233498730.53,88040580.37,97185218.96,65800744.96,16291770.0,-15092704.0,Étendu pour prévision t+1,apprentissage
Addoha,Immobilier,consolides,2018,2019,84079684.0,4062318164.0,11146854611.0,15111000.0,649058714.0,763909244.0,41986239.0,-42093445.0,Étendu pour prévision t+1,apprentissage
Auto hall,Distributeurs,sociaux,2018,2019,48418632.0,4811636630.5,502945280.0,384188228.74,1486356722.6,167492012.8,56312840.0,7894208.0,Étendu pour prévision t+1,apprentissage
DELTA HOLDING S.A,Sociétés de portefeuille,sociaux,2018,2019,6376302.0,69913039.51,1383441064.26,21556020.22,191446862.03,185070560.03,11620600.0,5244298.0,Étendu pour prévision t+1,apprentissage
PROMOPHARM,Divers,sociaux,2018,2019,16291770.0,444532858.69,272244361.07,83306922.89,55037400.54,38745630.54,29470253.0,13178483.0,Étendu pour prévision t+1,apprentissage
Auto hall,Distributeurs,sociaux,2019,2020,56312840.0,4424249242.77,502945280.0,828831167.03,1480480055.68,170154181.08,58163046.0,1850206.0,Étendu pour prévision t+1,apprentissage
Brasseries du Maroc,Agroalimentaire,sociaux,2019,2020,166846747.0,2508184430.51,2165417840.49,556259936.68,554460744.33,387613997.33,112318257.0,-54528490.0,Étendu pour prévision t+1,apprentissage
Cosumar,Agroalimentaire,consolides,2019,2020,325611059.0,6676200000.0,4182000000.0,4512100000.0,1196700000.0,871100000.0,266449348.0,-59161711.0,Étendu pour prévision t+1,apprentissage
MarocTelecom,Télécommunications,sociaux,2019,2020,2388514000.0,19900000000.0,13224863000.0,71812207000.0,5647807000.0,5699000000.0,2296379000.0,-92135000.0,Étendu pour prévision t+1,apprentissage
PROMOPHARM,Divers,sociaux,2019,2020,29470253.0,522450180.24,324358564.9,79544054.17,81584456.41,52114203.41,30190807.0,720554.0,Étendu pour prévision t+1,apprentissage
Brasseries du Maroc,Agroalimentaire,sociaux,2020,2021,112318257.0,2216340317.46,2001370477.5,490065841.0,333103702.01,220785445.01,143187529.0,30869272.0,Étendu pour prévision t+1,apprentissage
Cosumar,Agroalimentaire,consolides,2020,2021,266449348.0,6979600000.0,4186900000.0,4547500000.0,860200000.0,593800000.0,308964703.0,42515355.0,Étendu pour prévision t+1,apprentissage
PROMOPHARM,Divers,sociaux,2020,2021,30190807.0,573195995.7,384619455.28,85276133.62,90451697.38,60260890.38,33724820.0,3534013.0,Étendu pour prévision t+1,apprentissage
Brasseries du Maroc,Agroalimentaire,sociaux,2021,2022,143187529.0,2518186586.83,2023994062.72,486841790.4,465754332.22,322566803.22,187647583.0,44460054.0,Étendu pour prévision t+1,validation
PROMOPHARM,Divers,sociaux,2021,2022,33724820.0,630491043.46,423589590.55,100696426.75,102694955.27,68970135.27,38972320.0,5247500.0,Étendu pour prévision t+1,validation
Zellidja,Sociétés de portefeuilles holdings,sociaux,2021,2022,10251.0,24022.0,47752300.73,439223.14,278394.45,268143.45,10096.0,-155.0,Étendu pour prévision t+1,validation
Brasseries du Maroc,Agroalimentaire,sociaux,2022,2023,187647583.0,2718405138.76,2113985081.43,461337826.89,597389390.71,409741807.71,227101402.0,39453819.0,Étendu pour prévision t+1,validation
Cosumar,Agroalimentaire,sociaux,2022,2023,349950242.0,9293598547.4,4216647389.13,1836204732.82,1206407816.42,856457574.42,508273674.0,158323432.0,Étendu pour prévision t+1,validation
DISTY RFA,"Matériels, logiciels et services informatiques",sociaux,2022,2023,3197250.0,202000000.0,162429915.14,3485429.27,7332000.0,-2.0,2928870.0,-268380.0,Étendu pour prévision t+1,validation
Lydec,Divers,sociaux,2022,2023,80334203.0,7380908784.86,1779636817.98,54186092.91,91357868.73,11023665.73,127308324.82,46974121.81999999,Étendu pour prévision t+1,validation
Microdata,"Matériels, logiciels et services informatiques",sociaux,2022,2023,20069301.0,694841840.09,167193647.01,15156203.53,62682699.37,42613398.37,20098067.0,28766.0,Étendu pour prévision t+1,validation
PROMOPHARM,Divers,sociaux,2022,2023,38972320.0,746771033.32,458867835.35,212683177.88,114250564.8,75278244.8,30896094.0,-8076226.0,Étendu pour prévision t+1,validation
Unimer,Agroalimentaire,sociaux,2022,2023,12400973.0,897687894.27,1564261823.89,173047613.41,45442423.96,33041450.96,6190569.0,-6210404.0,Étendu pour prévision t+1,validation
Brasseries du Maroc,Agroalimentaire,sociaux,2023,2024,227101402.0,2725417168.86,2344199991.14,523491324.77,869030823.21,641929421.21,136784750.0,-90316652.0,Étendu pour prévision t+1,test
Cosumar,Agroalimentaire,sociaux,2023,2024,508273674.0,9462216869.73,4692124211.34,1707978657.49,1645160497.21,1136886823.21,487874939.0,-20398735.0,Étendu pour prévision t+1,test
Lydec,Divers,sociaux,2023,2024,127308324.82,7598475749.67,1818023268.91,57708422.14,165694775.75,38386450.93,121000000.0,-6308324.819999993,Étendu pour prévision t+1,test
Microdata,"Matériels, logiciels et services informatiques",sociaux,2023,2024,20098067.0,751169851.53,182396455.66,14511031.48,80474971.65,57202808.65,24141088.0,4043021.0,Étendu pour prévision t+1,test
PROMOPHARM,Divers,sociaux,2023,2024,30896094.0,805516174.89,475765782.17,310727981.02,87794040.82,56897946.82,33883641.0,2987547.0,Étendu pour prévision t+1,test
Risma,Divers,sociaux,2023,2024,2310526.23,889035566.53,2151334485.08,1827128670.64,235634865.64,233324339.41,2509443.0,198916.77000000002,Étendu pour prévision t+1,test
Unimer,Agroalimentaire,sociaux,2023,2024,6190569.0,904614741.3,1566971375.83,156988098.21,20314000.94,14123431.94,2685482.0,-3505087.0,Étendu pour prévision t+1,test
Zellidja,Sociétés de portefeuilles holdings,consolides,2023,2024,1791000.0,603030000.0,100680000.0,61452000.0,3513000.0,1722000.0,5410000.0,3619000.0,Étendu pour prévision t+1,test
AFMA,Assurances et courtage,sociaux,2024,2025,22022000.0,239503000.0,78989000.0,20159000.0,87124000.0,65102000.0,18592000.0,-3430000.0,Étendu pour prévision t+1,test
AKDITAL,Santé,sociaux,2024,2025,3517549.0,119755123.0,2298712215.0,16339879.0,209141951.0,205624402.0,5677576.0,2160027.0,Étendu pour prévision t+1,test
ARADEI Capital,Sociétés de placement immobilier,sociaux,2024,2025,5772362.0,199977503.15,2681443537.26,681019027.54,143814333.19,138041971.19,13486621.63,7714259.630000001,Étendu pour prévision t+1,test
Atlanta,Sociétés d'assurances,sociaux,2024,2025,54913464.0,29600000.0,4029546016.08,116051432.93,511264379.23,456350915.23,40561252.0,-14352212.0,Étendu pour prévision t+1,test
BCP,Banques,sociaux,2024,2025,1727506000.0,10018334000.0,33378191000.0,2686750000.0,4667429000.0,2939923000.0,2167546000.0,440040000.0,Étendu pour prévision t+1,test
Brasseries du Maroc,Agroalimentaire,sociaux,2024,2025,136784750.0,2622969828.83,2124583565.55,535070199.34,369912804.41,233128054.41,187996812.0,51212062.0,Étendu pour prévision t+1,test
CASH PLUS S.A,Services de paiement,sociaux,2024,2025,178171000.0,562081000.0,473402000.0,61770000.0,396568000.0,218397000.0,212103010.0,33932010.0,Étendu pour prévision t+1,test
CMGP GROUP,Agriculture,sociaux,2024,2025,314457.0,20347094.23,2229269508.68,0.0,102718210.01,102403753.01,373469.0,59012.0,Étendu pour prévision t+1,test
Cosumar,Agroalimentaire,sociaux,2024,2025,487874939.0,9643112303.24,4684807359.45,1666110264.86,1425429517.11,937554578.11,375170429.0,-112704510.0,Étendu pour prévision t+1,test
DELTA HOLDING S.A,Sociétés de portefeuilles holdings,sociaux,2024,2025,9491501.0,64222892.42,1781003527.76,16508148.97,185643175.63,176151674.63,16604015.0,7112514.0,Étendu pour prévision t+1,test
DISTY RFA,"Matériels, logiciels et services informatiques",sociaux,2024,2025,2929158.0,547834555.13,175625645.78,2163010.08,22293214.78,19364056.78,3737785.0,808627.0,Étendu pour prévision t+1,test
DISWAY,Distributeurs,sociaux,2024,2025,20159189.0,1601013160.52,625444434.25,185485513.76,87348236.79,67189047.79,20159189.0,0.0,Étendu pour prévision t+1,test
ENNAKL,Distributeurs,sociaux,2024,2025,54433844.05558334,1902825044.033333,625448736.3744,200827535.2182,195848205.5823333,141414361.52675,77889700.83150001,23455856.775916666,Étendu pour prévision t+1,test
Involys,"Matériels, logiciels et services informatiques",sociaux,2024,2025,99982.89,37516821.87,90252994.6,661793.6,-23486.36,-123469.25,157108.0,57125.11,Étendu pour prévision t+1,test
Managem,Mines,sociaux,2024,2025,35418275.0,467157384.92,6360493281.12,64022487.37,251343203.23,215924925.23,4321925.0,-31096350.0,Étendu pour prévision t+1,test
Microdata,"Matériels, logiciels et services informatiques",sociaux,2024,2025,24141088.0,900445777.78,193090661.08,14079604.56,91955293.42,67814205.42,21923922.0,-2217166.0,Étendu pour prévision t+1,test
PROMOPHARM,Divers,sociaux,2024,2025,33883641.0,898713862.91,530925751.86,378002235.79,89043610.69,55159969.69,38461011.0,4577370.0,Étendu pour prévision t+1,test
SGTM S.A,Bâtiment et matériaux de construction,sociaux,2024,2025,374322000.0,10452484000.0,2648774000.0,204772000.0,1138414000.0,764092000.0,655609313.03,281287313.03,Étendu pour prévision t+1,test
STROC INDUSTRIE,Ingénieries et biens d'équipement industriels,sociaux,2024,2025,351615.0,117669378.45,-341368455.65,250074848.83,-12225732.63,-12577347.63,893044.0,541429.0,Étendu pour prévision t+1,test
Sonasid,Mines,sociaux,2024,2025,73731175.0,5374880003.12,1430165800.95,700342052.84,224595740.87,150864565.87,156597905.35,82866730.35,Étendu pour prévision t+1,test
TAQA MOROCCO,Electricité,sociaux,2024,2025,244285642.0,6068100870.29,6478163115.43,313459881.72,1304778197.55,1060492555.55,232518075.0,-11767567.0,Étendu pour prévision t+1,test
TGCC S.A,Bâtiment et matériaux de construction,sociaux,2024,2025,162568916.0,6608281599.17,1449888650.47,170466009.52,583259218.64,420690302.64,451699378.0,289130462.0,Étendu pour prévision t+1,test
TOTAL MAROC,Distributeurs,sociaux,2024,2025,466189051.0,18348026022.08,2595923623.32,2214812884.4,1310807233.5,844618182.5,444872652.0,-21316399.0,Étendu pour prévision t+1,test
Unimer,Agroalimentaire,sociaux,2024,2025,2685482.0,806449256.64,1532049342.84,147870937.92,-20822670.99,-23508152.99,1828143.0,-857339.0,Étendu pour prévision t+1,test
Vicenne,Santé,sociaux,2024,2025,168371.0,24957175.17,238848114.82,1765484.56,51352145.71,51183774.71,365832.0,197461.0,Étendu pour prévision t+1,test
