variable,n_valide,q1,q3,iqr,borne_basse,borne_haute,nombre_outliers_iqr,taux_outliers_pct
variation_is_cible,122,-3916414.0,10011367.5,13927781.5,-24808086.25,30903039.75,30,24.59016393442623
immobilisations_corporelles,122,55066675.2175,808022991.8199999,752956316.6025,-1074367799.68625,1937457466.7237499,24,19.672131147540984
is_mad,122,10319370.75,149986148.25,139666777.5,-199180795.5,359486314.5,11,9.01639344262295
capitaux_propres,122,327724095.45,2532992715.275,2205268619.8250003,-2980178834.2875004,5840895645.012501,11,9.01639344262295
is_cible_t_plus_1,122,10183197.0,162226046.0875,152042849.0875,-217881076.63125002,390290319.71875,11,9.01639344262295
chiffre_affaires,122,351844228.8275,4333766473.0775,3981922244.2500005,-5621039137.547501,10306649839.452501,9,7.377049180327869
