variable,n,valeurs_manquantes,taux_manquant_pct,moyenne,mediane,ecart_type,coefficient_variation,minimum,q1,q3,maximum,asymetrie,kurtosis_exces,valeurs_uniques,plus_infini,moins_infini
is_mad,122,0,0.0,185582809.0903736,42800423.72,474843222.7239194,2.5586595280637447,10251.0,10319370.75,149986148.25,3412424000.0,4.7930165901735435,24.74265053750527,122,0,0
chiffre_affaires,122,0,0.0,3572785633.621011,976822891.475,6292594498.876145,1.7612572217210283,24022.0,351844228.8275,4333766473.0775,37030147000.0,3.1361688870735347,10.917451833405163,118,0,0
capitaux_propres,122,0,0.0,2900231883.212003,1379992891.7849998,7132613951.093897,2.4593254051102065,-341368455.65,327724095.45,2532992715.275,67324000000.0,6.974790438344377,57.86829828451478,120,0,0
immobilisations_corporelles,122,0,0.0,3354155758.212116,215419462.87,11160366047.068422,3.327324922148903,0.0,55066675.2175,808022991.8199999,71812207000.0,4.712653346307196,22.390335972183756,121,0,0
variation_is_cible,122,0,0.0,-837985.653066256,630991.5,135986828.24764058,162.27822964516633,-1317566000.0,-3916414.0,10011367.5,440040000.0,-7.1726886239205285,74.60096512863333,121,0,0
is_cible_t_plus_1,122,0,0.0,184744823.4373074,41254155.72,424454433.13021773,2.2975173281337167,10096.0,10183197.0,162226046.0875,2296379000.0,4.075780383998842,16.480273248644334,121,0,0
