variable,n_paires,correlation_pearson,correlation_spearman,abs_pearson,abs_spearman
is_mad,122,0.9604231161427466,0.9741640107011997,0.9604231161427466,0.9741640107011997
chiffre_affaires,122,0.5744779270350622,0.8357486406254309,0.5744779270350622,0.8357486406254309
immobilisations_corporelles,122,0.8152658528873368,0.6974192056043884,0.8152658528873368,0.6974192056043884
capitaux_propres,122,0.44107097970392634,0.6752836482787097,0.44107097970392634,0.6752836482787097
variation_is_cible,122,-0.23234584499621677,0.19612880840658253,0.23234584499621677,0.19612880840658253
